"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
But I’m getting ahead of myself. Diana Prince is, properly speaking, Princess Diana, daughter of Hippolyta, queen of the Amazons (Connie Nielsen). The girl (played in childhood by Lilly Aspell and Emily Carey before maturing into Gal Gadot) grows up on a craggy Mediterranean island, a Bechdel-test paradise of flower-strewn meadows, noble horses and mighty quadriceps. Like a Disney princess — the resemblance hardly seems accidental — she is free-spirited and rebellious, her loyalties split between two opposed parental figures. Diana’s mother wants her daughter to mind her tutors and steer clear of the warrior traditions represented by Antiope (Robin Wright), the girl’s aunt.
In the course of family arguments about Diana’s destiny, the history of the Amazons is recounted, with emphasis on that tribe’s ambivalent relations with men — meaning human beings generically and dudes in particular. There are none of the latter on the island, which has been sealed off from history and the rest of the world by a magic membrane. And then one day a screaming comes across the sky, and a World War I vintage fighter plane disgorges Steve Trevor (Chris Pine), a blue-eyed flyboy who is the living embodiment of the phrase “not all men.”
Steve, a spy for the Allies, is wearing a German uniform and is pursued by a flotilla of Teutonic bad guys, who battle the Amazons on the beach. The action hops to London and then to the trenches of Belgium, where the War to End All Wars slogs interminably on. There are fistfights in alleys and more extensive episodes of combat, during which Diana makes use of her aunt’s training, traditional Amazon weapons (notably a glowing piece of rope called the Lasso of Truth) and her own unique abilities. She deflects bullets and mortar shells on a sprint across no-man’s land, tosses an armored truck and demolishes a church steeple.
Even better, she is a glamorous and funny fish out of water. Diana and Steve are assisted in their mission by a quartet of misfit sidekicks: a Scottish sharpshooter (Ewen Bremner); a Native American scout (Eugene Brave Rock); a Middle Eastern fixer (Said Taghmaoui) and a plucky British suffragist (Lucy Davis). The field of possible supervillains includes Danny Huston as a German commander and Elena Anaya as a diabolical chemist. The great David Thewlis is on hand doing some of the things you might expect and also some things you might not.
But make no mistake: This is a star vehicle all the way. Ms. Gadot, who like the other Amazons speaks English with an accent (though hers, unlike Ms. Wright’s or Ms. Nielsen’s, may be a result of her Israeli background), has a regal, effortlessly charismatic screen presence. She and Mr. Pine, who has Paul Newman’s seductive blue eyes and a hint of Clark Gable’s raffish charm, give “Wonder Woman” a jolt of classic Hollywood fizz. Their banter, long before that kiss, is lively and sexy, and their oil-and-water temperaments emulsify nicely.
Ms. Jenkins and Mr. Heinberg have synthesized a plausible modern archetype out of comic-book and movie sources that may have seemed problematic to modern sensibilities. Diana is erudite but unworldly, witty but never ironic, supremely self-confident and utterly mystified by the modern world. Its capacity for cruelty is a perpetual shock to her, even though she herself is a prodigy of violence. Her sacred duty is to bring peace to the world. Accomplishing it requires a lot of killing, but that’s always the superhero paradox.
“Wonder Woman,” though, resists the reflexive power-worship that drags so many superhero movies — from the Marvel as well as the DC universes — into the mire of pseudo-Nietzschean adolescent posturing. Unlike most of her male counterparts, its heroine is not trying to exorcise inner demons or work out messiah issues. She wants to function freely in the world, to help out when needed and to be respected for her abilities. No wonder she encounters so much resistance." 0.965885716 "Action" "PG-13" "Warner Bros." "$149,000,000 " "$103,251,471 " "$412,563,408 " "" "1,888" "28-Jul-89" "" "" NA
"353" "Wonderstruck" "10/20/2017" "10/19/2017" "http://www.nytimes.com/2017/10/19/movies/wonderstruck-review-todd-haynes.html" 1 "Stars glitter and worlds collide in Todd Haynes’s “Wonderstruck,” a lovely ode to imagination and to the stories that make us who we are. A cleverly bifurcated tale of two children, it starts in 1977 with Ben (Oakes Fegley), a boy of about 10 in rural Minnesota. He’s in mourning for his mother (Michelle Williams in flashback) and has a question mark — an absent father — that needs solving. First, though, there’s David Bowie on the turntable (“ground control to Major Tom”) and a lightning strike that leaves Ben deaf. Fearless and resourceful, Ben splits for New York to find his father.
Ben’s story-twin, whose life and adventures curiously mirror his own, is Rose (Millicent Simmonds, a discovery), a 12-year-old deaf girl in 1927 who yearns to escape her lonely, cosseted life in Hoboken, N.J. To that end, following in the footsteps of countless other dreamers, she, too, flees to New York. There, she seeks out her absent mother, but instead finds a cipher (Julianne Moore), a screen star who clutches fictional babes to her breast but has no time for life’s real lost children. As undaunted and determined as Ben, Rose sets off again, entering a world thrumming with coincidences and complications.
Despite the distinct periods and palettes — Ben’s story unfolds in color, Rose’s in black and white — the story, the editing and the children’s deafness underscore that these two are deeply connected. The film’s mysteries include how and why they fit, and its satisfactions involve seeing where the scattered bread crumbs lead. How, for instance, an Oscar Wilde line in Ben’s room — “We are all in the gutter, but some of us are looking at the stars” — fits into the larger puzzle. And why, after Ben asks his mother about his father, the film shifts to a plaintive Rose, who’s looking at a movie-magazine ad trumpeting “Our Brightest Stars.” Both that  Wilde epigram and Rose’s film fandom are hints, clues in a story that eventually dovetails with Mr. Haynes’s interest in images and identity.
“Wonderstruck” is based on a hefty, generously illustrated children’s book by Brian Selznick, best known for “The Invention of Hugo Cabret.” Martin Scorsese turned that book into “Hugo,” a reverie about movie love that also features dead parents, a grave if pluckily resourceful child, many whirring yet connected parts and a preoccupation with the cinematic. The film version of “Wonderstruck” draws from much the same overflowing treasure-trove of ideas, although Mr. Haynes (like Mr. Scorsese) often feels most energized by the many different ways human beings — with cinematic sights and sounds, through wall shadows and painstaking miniatures — put the world in a box.
